[2026-07-19T22:29:41.480Z] GET http://localhost:8000/login → 200 (9ms, 16155B)
[2026-07-19T22:29:41.492Z] GET http://localhost:8000/static/unpkg.com_react@18.3.1_umd_react.production.min.js → 200 (6ms, 10751B)
[2026-07-19T22:29:41.493Z] GET http://localhost:8000/static/unpkg.com_react-dom@18.3.1_umd_react-dom.production.min.js → 200 (6ms, 131835B)
[2026-07-19T22:29:41.493Z] GET http://localhost:8000/static/33cc10ab-eb14-491a-b1ef-a3b7a32dbf6f.js → 200 (5ms, 66404B)
[2026-07-19T22:29:41.570Z] GET http://localhost:8000/login → 200 (23ms, 16155B)
[2026-07-19T22:29:41.593Z] GET http://localhost:8000/static/271a769a-00c8-40e2-b7a5-fc09eb13acc3 → 200 (12ms, 42588B)
[2026-07-19T22:29:41.593Z] GET http://localhost:8000/static/e929d16a-cc3b-4586-a30d-3a55811439c5 → 200 (10ms, 56364B)
[2026-07-19T22:29:41.593Z] GET http://localhost:8000/static/0ee4bd90-a829-4a5f-9e48-6fc518c42cf8 → 200 (13ms, 91484B)
[2026-07-19T22:29:41.593Z] GET http://localhost:8000/static/b9688901-bd1c-4cdb-a5f1-5ce45a41e22c → 200 (11ms, 30712B)
[2026-07-19T22:29:46.714Z] POST http://localhost:8000/api/auth/login → pending (?ms, ?B)
[2026-07-19T22:29:47.746Z] GET http://localhost:8000/home → 200 (5ms, ?B)
[2026-07-19T22:29:47.757Z] GET http://localhost:8000/static/unpkg.com_react@18.3.1_umd_react.production.min.js → 200 (?ms, ?B)
[2026-07-19T22:29:47.757Z] GET http://localhost:8000/static/unpkg.com_react-dom@18.3.1_umd_react-dom.production.min.js → 200 (?ms, ?B)
[2026-07-19T22:29:47.758Z] GET http://localhost:8000/static/33cc10ab-eb14-491a-b1ef-a3b7a32dbf6f.js → 200 (?ms, ?B)
[2026-07-19T22:29:47.758Z] GET http://localhost:8000/static/2239d4cc-7838-4536-8ece-531a99433615.js → pending (?ms, ?B)
[2026-07-19T22:29:47.782Z] GET http://localhost:8000/PortalPage.dc.html → 404 (12ms, 22B)
[2026-07-19T22:29:47.788Z] GET http://localhost:8000/static/e929d16a-cc3b-4586-a30d-3a55811439c5 → 200 (?ms, -319B)
[2026-07-19T22:29:47.788Z] GET http://localhost:8000/static/b9688901-bd1c-4cdb-a5f1-5ce45a41e22c → 200 (?ms, -319B)
[2026-07-19T22:29:47.788Z] GET http://localhost:8000/static/271a769a-00c8-40e2-b7a5-fc09eb13acc3 → 200 (1ms, -319B)
[2026-07-19T22:29:47.789Z] GET http://localhost:8000/static/0ee4bd90-a829-4a5f-9e48-6fc518c42cf8 → 200 (?ms, -319B)
[2026-07-19T22:29:57.435Z] GET http://localhost:8000/home → 200 (8ms, 169362B)
[2026-07-19T22:29:57.448Z] GET http://localhost:8000/static/unpkg.com_react@18.3.1_umd_react.production.min.js → 200 (?ms, -252B)
[2026-07-19T22:29:57.451Z] GET http://localhost:8000/static/unpkg.com_react-dom@18.3.1_umd_react-dom.production.min.js → 200 (?ms, -253B)
